Block ID,Question/Title,Type,Metric 1,Value 1,Metric 2,Value 2,Metric 3,Value 3,User Comments
intro,¿En qué rango de edad te encuentras?,Multiple Choice,Result 1,"¿Qué tan importante y útil es para ti solicitar y recibir el desembolso del préstamo 100% digital en max 8 horas, sin papeleo",,,,,
5d765ffd,¿En qué rango de edad te encuentras?,Multiple Choice,Result 1,44%,Result 2,24%,,,
114e633d,¿Has solicitado algún préstamo personal en los últimos 24 meses?,Yes/No,Result 1,68%,Result 2,32%,,,
21fe3808,Unknown,Unknown,,,,,,,
33efea68,Simulación de solicitud de préstamo.,Prototype Test • Screen-based,Success Rate,94.2%,Misclick Rate,21.7%,Avg Duration,83.5s,
75dc021c,¿Qué tan clara y útil te pareció la información de la primera pantalla?,Opinion Scale,Average Score,4.4,Total Responses,133,,,
4d37b500,¿Qué tan importante sería contar con un listado de preguntas relacionadas con una solicitud de crédito en esta primera pantalla?,Opinion Scale,Average Score,4.3,Total Responses,130,,,
ca4147d8,¿Por qué elegiste la respuesta anterior?,Open Question,Comment Count,112,,,,,"Participant 472166233: Porque desde mi punto de vista suelo tener dudas al elegir las opciones para tomar un préstamo de manera digital; por eso considero que las preguntas son importantes para dar claridad a las ideas o a las dudas generadas. | Participant 473803620: Porque así uno tiene una idea más clara de lo que se está haciendo o se quiere hacer. | Participant 473692197: Porque entiendo perfectamente como hacer el proceso de manera digital | Participant 473300723: Porque el cliente debe de tener bien explícito y detallado el procedimiento que va a realizar y sobre todo el compromiso y los requisitos que debe de cumplir. | Participant 473244903: Porque mientras más informació se tiene menos tiempo invertimos en el proceso. Si todo está claro, es solo cuestion de poner cantidad y tiempo para el préstamo. | Participant 473136371: Porque fue clara y precisa, es bueno saber todos los detalles | Participant 473046238: Porque al momento de solicitar un prestamo es importante tener toda la información posible | Participant 473040549: Para estar clara y segura del proceso | Participant 470534995: Me párese mejor | Participant 473032251: Me parece que es importante | Participant 473011218: porque mientras más claro está el cliente mejor manejo y conocimiento acerca del mismo tiene | Participant 473007917: Bla bla | Participant 450334017: Me pareció correcta | Participant 472654994: Porque es la manera como me identifico con el proceso | Participant 472651048: No están dando un buen servicio últimamente, mi tarjeta de crédito venció y se un mes todavía estoy esperando el plástico nuevo, es increíble | Participant 472342014: Porque representa confiabilidad, y asociación cibao es de confianza para persona y mi empresa | Participant 472562969: Necesito mejora mi perfil de créditos | Participant 472563202: Es clara y precisa, fácil | Participant 472547199: PORQUE ES UNA FORMA DE AGILIZAR LOS PROCESOS | Participant 472542719: Al pregunta generica que siempre nos hacemos al momento de un prestamos que nos gustaría tener la respuesta como: si el interés el fijo, flexibilidad por al abono de capital, multa por pago anticipado... | Participant 472506609: Las preguntas son un poco confusas por los términos usados, deben ser más claras para el solicitante. | Participant 472275898: Información clara | Participant 472461862: Porque son válidas las pregunta | Participant 472460370: Considero que el banco tiene la información que quiere saber del cliente y la idea es agilizar | Participant 472410698: Estoy totalmente de acuerdo sobre el listado de preguntas. | Participant 472407839: Todo queda claro para el cliente. | Participant 472403680: Las cosas quedan claras para ambos, tanto como para la entidad y para el cliente. | Participant 472402651: Por que si es interesante | Participant 472345495: Me inspira confinza | Participant 472342205: La información es clave para evitar reclamos | Participant 472319926: Para mayor rapidez | Participant 472285236: Es el banco que me abrí las puertas al futuro del éxito en mi negocio . Oportunidad como las da este banco ninguno en el país | Participant 472296845: Porque hay que considerar los términos y condiciones contractuales del crédito | Participant 463129649: Por qué me pareció bn | Participant 472264362: Porque si | Participant 472261386: Por qué creo que es correcto | Participant 472238514: si | Participant 472149596: Para que el cliente esté informado de los procesos | Participant 472220230: Considero que de ese modo vamos avanzando en el proceso. | Participant 472217941: esta muy bien | Participant 472211825: Porque mi entra menos complicada es la app más rápido las personas pueden acceder como la primera estuvo Perfecto | Participant 472208642: . | Participant 472201441: Los considero así porque ya e rodando préstamo personales con ustedes y tengo uno es curso | Participant 472199148: Porque considero que desde mi punto de vista los calificó con esa puntuación porque ya es tomado préstamo y tengo un en curso | Participant 472199031: Porque esta en una escala de término medio para mi. | Participant 472174901: Lo considero importante saber cosas necesarias | Participant 472187011: Mientras mas claridad tenga el proceso mayor es la satisfacción del cliente. | Participant 472191344: Es bueno estar siempre informado de todo con claridad | Participant 472188139: mientras mas transparencia exista mas seguridad le brindara al cliente | Participant 472186988: Porque me gusta la claridad | Participant 472186725: Porque es importante que el cliente conozca todos los detalles | Participant 472177782: Por la razón q me gustó su comentario y su prueba | Participant 472183932: Para más claridad | Participant 471907641: Ayuda a entener mas el proceso del prestamo y evita a que tenga que visitar una sucursal en caso de que tenga alguna pregunta | Participant 472168267: . | Participant 450307300: Porque es importante que el cliente sepa todos los detalles | Participant 471798623: Ayudaría a darle mayor información al usuario | Participant 472177937: Confianza en esta entidad. | Participant 472154675: Fue útil | Participant 472168995: Porque es muy importante saber datos que en el futuro , luego que tome el préstamo, resulte dudoso no se me aclarò en el momento oportuno | Participant 472170229: Porque pudiera existir dudas sobre los seguros | Participant 449228582: Me fue util | Participant 472169236: Porque se debe ser claro al usuario con respecto a cada acción que permita realizar una aplicación. | Participant 472168314: Porque puedo tener de primera instancia la información que pudiera necesitar sin tener que buscar en otro aldo | Participant 472165120: Porque debes saber el monto, tasa, productos disponibles, etc | Participant 472118661: Me parece que un listado de preguntas frecuentes pudiera ayudar a los que no conocen mucho de estas cosas antes de iniciar el proceso | Participant 472120161: Porque así va conociendo el cliente y las necesidades del mismo. | Participant 472121123: Test | Participant 449165636: Test | Participant 472124103: Para tener claridad de loq ue voy a solicitar | Participant 472126434: da mayor credibilidad y criterio de autenticacion | Participant 472137757: Porquele falta información | Participant 471696699: Mientras más clara es la información, más fácil se le hace al cliente continuar el proceso | Participant 472141368: Es de suma importancia tener claro las condiciones/beneficios que tendremos al momento de adquirir un préstamo ya que tendremos que cumplir a tiempo con esta obligación financiera para así poder reflejar un buen comportamiento de pago en el buró. | Participant 472138086: Considero que sería bueno colocar las informaciones en vez de preguntas. | Participant 472145190: Ok | Participant 472143230: Test | Participant 471887798: Por la seguridad de sus productos y con excelente calidad en servicios brindados. | Participant 472147992: Porque estuve muy satisfecho | Participant 472145545: Me parecieron correctas | Participant 472150112: Excelente como profesional de la industrias de la tecnologia aprecio bie el diseño y el flujo entre pantalla | Participant 472150124: Porque en ocasiones existen dudas que serían necesarias aclarar | Participant 472150368: Porque me parece funcional ágil y eficiente | Participant 472150123: Porque me gusta mucho | Participant 472149555: . | Participant 472151867: Es fácil | Participant 472152621: Se requiere conocer todos los requisitos del préstamo para no tener ""sorpresas"" luego. | Participant 472151186: Por la importancia de la información que se debe suministrar | Participant 472153074: Porque depende en gran manera de la informacion recibida la aprobacion o rechazo del prestamo | Participant 472153135: Porque es muy útil pero puede que personas no lo entiendan | Participant 472153323: si es mui buena y con mucha madurez y responsabilidad | Participant 472153668: La experiencia fue buena, pero no excelente. | Participant 472155053: Para que las personas tengan mayor claridad y conocimiento sobre lo que están haciendo | Participant 472155057: Es necesario para que el cliente esté seguro | Participant 472152948: Es fácil y rápido me gusta la idea | Participant 472157347: Agilidad de tener a mano rápidamente recursos líquidos | Participant 472157390: Informacion importante | Participant 472157460: Es bueno por seguridad | Participant 472158856: Agilidad de contar con recursos líquidos cuando se necesitan | Participant 472159225: Porque sería interesante obtener más información | Participant 472159841: Porque pienso ya de por sí es bastante claro y que se cae de la mata ya que yo estoy siendo consciente de lo que estoy queriendo adquirir | Participant 471048348: Entiendo que las preguntas podrían ir previo a aceptar las condiciones y aceptar el uso de mi data. | Participant 472159681: Porque permite al cliente tener toda la información y sin aceptes ocultos. | Participant 472159367: Si es importante | Participant 472160102: No entiendo la finalidad | Participant 470514976: Porque considero que es importante saber toda la información relevante del cliente | Participant 472162133: Entiendo que a nivel de diseño puede ser más atractiva para el usuario final | Participant 472162365: Los detalles | Participant 472157421: Es mas facil de ver las opciones | Participant 471247886: Porque me llamó mucho ala atención | Participant 472160442: SI SOY CLIENTE NO VEO NECESARIO PREGUNTAR MUCHO | Participant 472161404: PREVIOUS"
1ae3a70f,Validar identidad,Prototype Test • Screen-based,Success Rate,93.8%,Misclick Rate,6.4%,Avg Duration,44.7s,
20ae8d76,¿Consideras que estos pasos son importantes y útiles para garantizar tu seguridad?,Multiple Choice,Result 1,96%,Result 2,3%,,,
