Block ID,Question,Participant ID,User Comment
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472166233,Porque desde mi punto de vista suelo tener dudas al elegir las opciones para tomar un préstamo de manera digital; por eso considero que las preguntas son importantes para dar claridad a las ideas o a las dudas generadas.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473803620,Porque así uno tiene una idea más clara de lo que se está haciendo o se quiere hacer.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473692197,Porque entiendo perfectamente como hacer el proceso de manera digital
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473300723,Porque el cliente debe de tener bien explícito y detallado el procedimiento que va a realizar y sobre todo el compromiso y los requisitos que debe de cumplir.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473244903,"Porque mientras más informació se tiene menos tiempo invertimos en el proceso. Si todo está claro, es solo cuestion de poner cantidad y tiempo para el préstamo."
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473136371,"Porque fue clara y precisa, es bueno saber todos los detalles"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473046238,Porque al momento de solicitar un prestamo es importante tener toda la información posible
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473040549,Para estar clara y segura del proceso
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 470534995,Me párese mejor
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473032251,Me parece que es importante
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473011218,porque mientras más claro está el cliente mejor manejo y conocimiento acerca del mismo tiene
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 473007917,Bla bla
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 450334017,Me pareció correcta
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472654994,Porque es la manera como me identifico con el proceso
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472651048,"No están dando un buen servicio últimamente, mi tarjeta de crédito venció y se un mes todavía estoy esperando el plástico nuevo, es increíble"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472342014,"Porque representa confiabilidad, y asociación cibao es de confianza para persona y mi empresa"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472562969,Necesito mejora mi perfil de créditos
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472563202,"Es clara y precisa, fácil"
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472547199,PORQUE ES UNA FORMA DE AGILIZAR LOS PROCESOS
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472542719,"Al pregunta generica que siempre nos hacemos al momento de un prestamos que nos gustaría tener la respuesta como: si el interés el fijo, flexibilidad por al abono de capital, multa por pago anticipado..."
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472506609,"Las preguntas son un poco confusas por los términos usados, deben ser más claras para el solicitante."
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472275898,Información clara
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472461862,Porque son válidas las pregunta
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472460370,Considero que el banco tiene la información que quiere saber del cliente y la idea es agilizar
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472410698,Estoy totalmente de acuerdo sobre el listado de preguntas.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472407839,Todo queda claro para el cliente.
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472403680,"Las cosas quedan claras para ambos, tanto como para la entidad y para el cliente."
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472402651,Por que si es interesante
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472345495,Me inspira confinza
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472342205,La información es clave para evitar reclamos
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472319926,Para mayor rapidez
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472285236,Es el banco que me abrí las puertas al futuro del éxito en mi negocio . Oportunidad como las da este banco ninguno en el país
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472296845,Porque hay que considerar los términos y condiciones contractuales del crédito
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 463129649,Por qué me pareció bn
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472264362,Porque si
ca4147d8,¿Por qué elegiste la respuesta anterior?,Participant 472261386,Por qué creo que es correcto
